LoginName,Password,Attribute,Connection,Access(Allow_All)(CHART:BOARD:ORDER:ORDER_RESULT:PROFIT:POSITION:STDOUT),RealName,SystemParameters,Seed,InitialCash,TradingUnit,FeePerUnit,MarginRate,MaxLoan,Interest
U01_2,noda,Machine,Local,,strategy_v2.U01_2,,5,1000000000,1000,0,300000,30000000,0.1
U01_3,kan,Machine,Local,,strategy_v2.U01_3,,5,1000000000,1000,0,300000,30000000,0.1
U02_1,hatoyama_jr,Machine,Local,,strategy_v2.U02_1,,5,1000000000,1000,0,300000,30000000,0.1
U02_3,fukuda_jr,Machine,Local,,strategy_v2.U02_3,,5,1000000000,1000,0,300000,30000000,0.1
U03_1,abe2,Machine,Local,,strategy_v2.U03_1,,5,1000000000,1000,0,300000,30000000,0.1
U03_3,koizumi,Machine,Local,,strategy_v2.U03_3,,5,1000000000,1000,0,300000,30000000,0.1
U04_1,mori,Machine,Local,,strategy_v2.U04_1,,5,1000000000,1000,0,300000,30000000,0.1
U04_2,obuchi,Machine,Local,,strategy_v2.U04_2,,5,1000000000,1000,0,300000,30000000,0.1
U05_2,murayama,Machine,Local,,strategy_v2.U05_2,,5,1000000000,1000,0,300000,30000000,0.1
U05_3,hata,Machine,Local,,strategy_v2.U05_3,,5,1000000000,1000,0,300000,30000000,0.1
U06_1,hosokawa,Machine,Local,,strategy_v2.U06_1,,5,1000000000,1000,0,300000,30000000,0.1
U06_2,miyazawa,Machine,Local,,strategy_v2.U06_2,,5,1000000000,1000,0,300000,30000000,0.1
U07_1,uno,Machine,Local,,strategy_v2.U07_1,,5,1000000000,1000,0,300000,30000000,0.1
U07_3,takeshita,Machine,Local,,strategy_v2.U07_3,,5,1000000000,1000,0,300000,30000000,0.1
U07_4,nakasone,Machine,Local,,strategy_v2.U07_4,,5,1000000000,1000,0,300000,30000000,0.1
U08_1,suzuki,Machine,Local,,strategy_v2.U08_1,,5,1000000000,1000,0,300000,30000000,0.1
U08_3,ito,Machine,Local,,strategy_v2.U08_3,,5,1000000000,1000,0,300000,30000000,0.1
U09_2,miki,Machine,Local,,strategy_v2.U09_2,,5,1000000000,1000,0,300000,30000000,0.1
U09_3,tanaka,Machine,Local,,strategy_v2.U09_3,,5,1000000000,1000,0,300000,30000000,0.1
U09_4,sato,Machine,Local,,strategy_v2.U09_4,,5,1000000000,1000,0,300000,30000000,0.1
U10_1,ikeda,Machine,Local,,strategy_v2.U10_1,,5,1000000000,1000,0,300000,30000000,0.1
U10_2,ikeda,Machine,Local,,strategy_v2.U10_2,,5,1000000000,1000,0,300000,30000000,0.1
U10_3,ikeda,Machine,Local,,strategy_v2.U10_3,,5,1000000000,1000,0,300000,30000000,0.1
U10_4,kishi,Machine,Local,,strategy_v2.U10_4,,5,1000000000,1000,0,300000,30000000,0.1
U11_1,ishibashi,Machine,Local,,strategy_v2.U11_1,,5,1000000000,1000,0,300000,30000000,0.1
U12_1,yoshida,Machine,Local,,strategy_v2.U12_1,,5,1000000000,1000,0,300000,30000000,0.1
U12_2,ashida,Machine,Local,,strategy_v2.U12_2,,5,1000000000,1000,0,300000,30000000,0.1
U13_3,shidehara,Machine,Local,,strategy_v2.U13_3,,5,1000000000,1000,0,300000,30000000,0.1
U14_2,suzuki_k,Machine,Local,,strategy_v2.U14_2,,5,1000000000,1000,0,300000,30000000,0.1
U14_3,suzuki_k,Machine,Local,,strategy_v2.U14_3,,5,1000000000,1000,0,300000,30000000,0.1
U15_2,koiso,Machine,Local,,strategy_v2.U15_2,,5,1000000000,1000,0,300000,30000000,0.1
U15_3,tojo,Machine,Local,,strategy_v2.U15_3,,5,1000000000,1000,0,300000,30000000,0.1
U15_4,konoe,Machine,Local,,strategy_v2.U15_4,,5,1000000000,1000,0,300000,30000000,0.1
U16_1,yonai,Machine,Local,,strategy_v2.U16_1,,5,1000000000,1000,0,300000,30000000,0.1
U16_2,yonai,Machine,Local,,strategy_v2.U16_2,,5,1000000000,1000,0,300000,30000000,0.1
U16_3,abe_n,Machine,Local,,strategy_v2.U16_3,,5,1000000000,1000,0,300000,30000000,0.1
U17_1,hiranuma,Machine,Local,,strategy_v2.U17_1,,5,1000000000,1000,0,300000,30000000,0.1
U17_2,konoe2,Machine,Local,,strategy_v2.U17_2,,5,1000000000,1000,0,300000,30000000,0.1
U17_3,konoe3,Machine,Local,,strategy_v2.U17_3,,5,1000000000,1000,0,300000,30000000,0.1
U18_4,okada,Machine,Local,,strategy_v2.U18_4,,5,1000000000,1000,0,300000,30000000,0.1
U19_1,sato,Machine,Local,,strategy_v2.U19_1,,5,1000000000,1000,0,300000,30000000,0.1
U19_2,inukai,Machine,Local,,strategy_v2.U19_2,,5,1000000000,1000,0,300000,30000000,0.1
U19_3,wakatsuki,Machine,Local,,strategy_v2.U19_3,,5,1000000000,1000,0,300000,30000000,0.1
U20_1,tanaka_g,Machine,Local,,strategy_v2.U20_1,,5,1000000000,1000,0,300000,30000000,0.1
U20_4,hamaguchi,Machine,Local,,strategy_v2.U20_4,,5,1000000000,1000,0,300000,30000000,0.1
U21_1,tanaka_g,Machine,Local,,strategy_v2.U21_1,,5,1000000000,1000,0,300000,30000000,0.1
U21_2,wakatsuki2,Machine,Local,,strategy_v2.U21_2,,5,1000000000,1000,0,300000,30000000,0.1
U21_4,kato,Machine,Local,,strategy_v2.U21_4,,5,1000000000,1000,0,300000,30000000,0.1
U22_3,yamamoto,Machine,Local,,strategy_v2.U22_3,,5,1000000000,1000,0,300000,30000000,0.1
U23_3,uchida2,Machine,Local,,strategy_v2.U23_3,,5,1000000000,1000,0,300000,30000000,0.1
U24_1,tanaka_g,Machine,Local,,strategy_v2.U24_1,,5,1000000000,1000,0,300000,30000000,0.1
U24_3,tanaka_g,Machine,Local,,strategy_v2.U24_3,,5,1000000000,1000,0,300000,30000000,0.1
